Symbol,Date,Close
FB,5/11/2018,186.99
FB,5/14/2018,186.64
FB,5/15/2018,184.32
FB,5/16/2018,183.2
FB,5/17/2018,183.76
FB,5/18/2018,182.68
FB,5/21/2018,184.49
FB,5/22/2018,183.8
FB,5/23/2018,186.9
FB,5/24/2018,185.93
FB,5/25/2018,184.92
FB,5/29/2018,185.74
FB,5/30/2018,187.67
FB,5/31/2018,191.78
FB,6/1/2018,193.99
FB,6/4/2018,193.28
FB,6/5/2018,192.94
FB,6/6/2018,191.34
FB,6/7/2018,188.18
FB,6/8/2018,189.1
FB,6/11/2018,191.54
FB,6/12/2018,192.4
FB,6/13/2018,192.41
FB,6/14/2018,196.81
FB,6/15/2018,195.85
FB,6/18/2018,198.31
FB,6/19/2018,197.49
FB,6/20/2018,202
FB,6/21/2018,201.5
FB,6/22/2018,201.74
FB,6/25/2018,196.35
FB,6/26/2018,199
FB,6/27/2018,195.84
FB,6/28/2018,196.23
FB,6/29/2018,194.32
FB,7/2/2018,197.36
FB,7/3/2018,192.73
FB,7/5/2018,198.45
FB,7/6/2018,203.23
FB,7/9/2018,204.74
FB,7/10/2018,203.54
FB,7/11/2018,202.54
FB,7/12/2018,206.92
FB,7/13/2018,207.32
FB,7/16/2018,207.23
FB,7/17/2018,209.99
FB,7/18/2018,209.36
FB,7/19/2018,208.09
FB,7/20/2018,209.94
FB,7/23/2018,210.91
FB,7/24/2018,214.67
FB,7/25/2018,217.5
FB,7/26/2018,176.26
FB,7/27/2018,174.89
FB,7/30/2018,171.06
FB,7/31/2018,172.58
FB,8/1/2018,171.65
FB,8/2/2018,176.37
FB,8/3/2018,177.78
FB,8/6/2018,185.69
FB,8/7/2018,183.81
FB,8/8/2018,185.18
FB,8/9/2018,183.09
FB,8/10/2018,180.26
FB,8/13/2018,180.05
FB,8/14/2018,181.11
FB,8/15/2018,179.53
FB,8/16/2018,174.7
FB,8/17/2018,173.8
FB,8/20/2018,172.5
FB,8/21/2018,172.62
FB,8/22/2018,173.64
FB,8/23/2018,172.9
FB,8/24/2018,174.65
FB,8/27/2018,177.46
FB,8/28/2018,176.26
FB,8/29/2018,175.9
FB,8/30/2018,177.64
FB,8/31/2018,175.73
FB,9/4/2018,171.16
FB,9/5/2018,167.18
FB,9/6/2018,162.53
FB,9/7/2018,163.04
FB,9/10/2018,164.18
FB,9/11/2018,165.94
FB,9/12/2018,162
FB,9/13/2018,161.36
FB,9/14/2018,162.32
FB,9/17/2018,160.58
FB,9/18/2018,160.3
FB,9/19/2018,163.06
FB,9/20/2018,166.02
FB,9/21/2018,162.93
FB,9/24/2018,165.41
FB,9/25/2018,164.91
FB,9/26/2018,166.95
FB,9/27/2018,168.84
FB,9/28/2018,164.46
FB,10/1/2018,162.44
FB,10/2/2018,159.33
FB,10/3/2018,162.43
FB,10/4/2018,158.85
FB,10/5/2018,157.33
FB,10/8/2018,157.25
FB,10/9/2018,157.9
FB,10/10/2018,151.38
FB,10/11/2018,153.35
FB,10/12/2018,153.74
FB,10/15/2018,153.52
FB,10/16/2018,158.78
FB,10/17/2018,159.42
FB,10/18/2018,154.92
FB,10/19/2018,154.05
FB,10/22/2018,154.78
FB,10/23/2018,154.39
FB,10/24/2018,146.04
FB,10/25/2018,150.95
FB,10/26/2018,145.37
FB,10/29/2018,142.09
FB,10/30/2018,146.22
FB,10/31/2018,151.79
FB,11/1/2018,151.75
FB,11/2/2018,150.35
FB,11/5/2018,148.68
FB,11/6/2018,149.94
FB,11/7/2018,151.53
FB,11/8/2018,147.87
FB,11/9/2018,144.96
FB,11/12/2018,141.55
FB,11/13/2018,142.16
FB,11/14/2018,144.22
FB,11/15/2018,143.85
FB,11/16/2018,139.53
FB,11/19/2018,131.55
FB,11/20/2018,132.43
FB,11/21/2018,134.82
FB,11/23/2018,131.73
FB,11/26/2018,136.38
FB,11/27/2018,135
FB,11/28/2018,136.76
FB,11/29/2018,138.68
FB,11/30/2018,140.61
FB,12/3/2018,141.09
FB,12/4/2018,137.93
FB,12/6/2018,139.63
FB,12/7/2018,137.42
FB,12/10/2018,141.85
FB,12/11/2018,142.08
FB,12/12/2018,144.5
FB,12/13/2018,145.01
FB,12/14/2018,144.06
FB,12/17/2018,140.19
FB,12/18/2018,143.66
FB,12/19/2018,133.24
FB,12/20/2018,133.4
