Symbol,Date,Close
NFLX,5/11/2018,326.46
NFLX,5/14/2018,328.53
NFLX,5/15/2018,326.13
NFLX,5/16/2018,328.19
NFLX,5/17/2018,325.22
NFLX,5/18/2018,324.18
NFLX,5/21/2018,331.82
NFLX,5/22/2018,331.62
NFLX,5/23/2018,344.72
NFLX,5/24/2018,349.29
NFLX,5/25/2018,351.29
NFLX,5/29/2018,349.73
NFLX,5/30/2018,353.54
NFLX,5/31/2018,351.6
NFLX,6/1/2018,359.93
NFLX,6/4/2018,361.81
NFLX,6/5/2018,365.8
NFLX,6/6/2018,367.45
NFLX,6/7/2018,361.4
NFLX,6/8/2018,360.57
NFLX,6/11/2018,361.45
NFLX,6/12/2018,363.83
NFLX,6/13/2018,379.93
NFLX,6/14/2018,392.87
NFLX,6/15/2018,391.98
NFLX,6/18/2018,390.4
NFLX,6/19/2018,404.98
NFLX,6/20/2018,416.76
NFLX,6/21/2018,415.44
NFLX,6/22/2018,411.09
NFLX,6/25/2018,384.48
NFLX,6/26/2018,399.39
NFLX,6/27/2018,390.39
NFLX,6/28/2018,395.42
NFLX,6/29/2018,391.43
NFLX,7/2/2018,398.18
NFLX,7/3/2018,390.52
NFLX,7/5/2018,398.39
NFLX,7/6/2018,408.25
NFLX,7/9/2018,418.97
NFLX,7/10/2018,415.63
NFLX,7/11/2018,418.65
NFLX,7/12/2018,413.5
NFLX,7/13/2018,395.8
NFLX,7/16/2018,400.48
NFLX,7/17/2018,379.48
NFLX,7/18/2018,375.13
NFLX,7/19/2018,364.23
NFLX,7/20/2018,361.05
NFLX,7/23/2018,362.66
NFLX,7/24/2018,357.32
NFLX,7/25/2018,362.87
NFLX,7/26/2018,363.09
NFLX,7/27/2018,355.21
NFLX,7/30/2018,334.96
NFLX,7/31/2018,337.45
NFLX,8/1/2018,338.38
NFLX,8/2/2018,344.5
NFLX,8/3/2018,343.09
NFLX,8/6/2018,350.92
NFLX,8/7/2018,351.83
NFLX,8/8/2018,347.61
NFLX,8/9/2018,349.36
NFLX,8/10/2018,345.87
NFLX,8/13/2018,341.31
NFLX,8/14/2018,337.49
